202.38.120.193,45,1393727880,-1,-1,-1,-1
202.38.120.193,45,1393727940,-1,-1,-1,-1
202.38.120.193,49,1393727880,-1,-1,-1,-1
202.38.120.193,49,1393727940,-1,-1,-1,-1
202.38.120.193,145,1393727880,0,0,5585,59
202.38.120.193,145,1393727940,0,0,5858,58
202.38.120.193,46,1393727880,-1,-1,-1,-1
202.38.120.193,46,1393727940,-1,-1,-1,-1
202.38.120.193,47,1393727880,-1,-1,-1,-1
202.38.120.193,47,1393727940,-1,-1,-1,-1
202.38.120.193,126,1393727880,17701814592,20684707,21367331194,22239972
202.38.120.193,126,1393727940,15928739916,19467286,21199317246,21598068
202.38.120.193,130,1393727880,5421095892,6859939,7668468226,7379568
202.38.120.193,130,1393727940,5368647369,6755756,7566983919,7298537
202.38.120.208,46,1393728060,-1,-1,-1,-1
202.38.120.193,135,1393727880,10213253569,11229661,10246059959,11122957
202.38.120.193,135,1393727940,10296252073,11277071,10264481217,11288268
202.38.120.208,47,1393728000,-1,-1,-1,-1
202.38.120.208,47,1393728060,-1,-1,-1,-1
202.38.120.193,53,1393727880,-1,-1,-1,-1
202.38.120.193,53,1393727940,-1,-1,-1,-1
202.38.120.193,42,1393727880,-1,-1,-1,-1
202.38.120.208,134217990,1393728000,-1,-1,-1,-1
202.38.120.193,42,1393727940,-1,-1,-1,-1
202.38.120.208,134217990,1393728060,-1,-1,-1,-1
202.38.120.208,136,1393728000,3006071546,4596066,7312627830,6597390
202.38.120.208,136,1393728060,2716808339,4333833,7105545572,6328817
202.38.120.193,136,1393727880,9594228726,10672147,10061830608,11160888
202.38.120.193,136,1393727940,10076113710,11184616,9751604183,11064807
202.38.120.208,120,1393728000,0,0,0,0
202.38.120.208,120,1393728060,0,0,0,0
202.38.120.193,133,1393727880,10209525878,11301640,9592816645,10223323
202.38.120.193,133,1393727940,10829481538,11783836,9733991863,10443577
202.38.120.208,137,1393728000,12677537558,11192765,4932624312,8149836
202.38.120.208,137,1393728060,12624313220,11225744,5113484044,8347766
202.38.120.193,146,1393727880,-1,-1,-1,-1
202.38.120.193,146,1393727940,-1,-1,-1,-1
202.38.120.208,536871169,1393728000,-1,-1,-1,-1
202.38.120.208,536871169,1393728060,-1,-1,-1,-1
202.38.120.193,50,1393727880,-1,-1,-1,-1
202.38.120.193,50,1393727940,-1,-1,-1,-1
210.25.189.6,1073741824,1393728000,6317647042,5579782,1018280047,5579760
210.25.189.6,1073741824,1393728060,6304996232,5474937,985615976,5474919
202.38.120.193,137,1393727880,9594228726,10672147,10061830608,11160888
202.38.120.193,137,1393727940,10076113710,11184616,9751604183,11064807
210.25.189.6,1076891648,1393728000,-1,-1,-1,-1
210.25.189.6,1076891648,1393728060,-1,-1,-1,-1
202.38.120.193,48,1393727880,-1,-1,-1,-1
202.38.120.193,48,1393727940,-1,-1,-1,-1
210.25.189.6,1073774592,1393728000,1022476083,2110571,6420955146,2110571
210.25.189.6,1073774592,1393728060,973934896,2091498,6270456830,2091498
202.38.120.203,118,1393727880,0,0,0,0
202.38.120.203,118,1393727940,0,0,0,0
210.25.189.6,1075843072,1393728000,0,0,0,0
210.25.189.6,1075843072,1393728060,0,0,0,0
202.38.120.203,43,1393727880,-1,-1,-1,-1
202.38.120.203,43,1393727940,-1,-1,-1,-1
219.243.214.230,11,1393728000,-1,-1,-1,-1
219.243.214.230,11,1393728060,-1,-1,-1,-1
202.38.120.203,2049,1393727880,-1,-1,-1,-1
202.38.120.203,2049,1393727940,-1,-1,-1,-1
219.243.214.230,88,1393728000,-1,-1,-1,-1
219.243.214.230,88,1393728060,-1,-1,-1,-1
202.38.120.203,45,1393727880,-1,-1,-1,-1
202.38.120.203,45,1393727940,-1,-1,-1,-1
202.38.120.210,536871425,1393728000,-1,-1,-1,-1
202.38.120.210,536871425,1393728060,-1,-1,-1,-1
202.38.120.203,2050,1393727880,-1,-1,-1,-1
202.38.120.203,2050,1393727940,-1,-1,-1,-1
202.38.120.210,536871553,1393728000,-1,-1,-1,-1
202.38.120.210,536871553,1393728060,-1,-1,-1,-1
202.38.120.203,46,1393727880,-1,-1,-1,-1
202.38.120.203,46,1393727940,-1,-1,-1,-1
202.38.120.210,44,1393728000,-1,-1,-1,-1
202.38.120.210,44,1393728060,-1,-1,-1,-1
202.38.120.203,47,1393727880,-1,-1,-1,-1
202.38.120.203,47,1393727940,-1,-1,-1,-1
202.38.120.210,67109126,1393728000,-1,-1,-1,-1
202.38.120.210,67109126,1393728060,-1,-1,-1,-1
202.38.120.203,1024,1393727880,-1,-1,-1,-1
202.38.120.203,1024,1393727940,-1,-1,-1,-1
202.38.120.210,121,1393728000,284,162,12066,153
202.38.120.210,121,1393728060,248,152,12246,167
202.38.120.203,119,1393727880,0,0,0,0
202.38.120.203,119,1393727940,0,0,0,0
202.38.120.210,201326854,1393728000,-1,-1,-1,-1
202.38.120.210,201326854,1393728060,-1,-1,-1,-1
202.38.120.203,138,1393727880,4618833774,5593348,6340870730,6543287
202.38.120.203,138,1393727940,4384029807,5283133,6363829204,6312795
202.38.120.210,45,1393728000,-1,-1,-1,-1
202.38.120.210,45,1393728060,-1,-1,-1,-1
202.38.120.203,133,1393727880,6444673359,6591421,4706374336,5673716
202.38.120.203,133,1393727940,6443994210,6500554,4612508035,5537940
202.38.120.210,23,1393728000,-1,-1,-1,-1
202.38.120.210,23,1393728060,-1,-1,-1,-1
202.38.120.203,2051,1393727880,-1,-1,-1,-1
202.38.120.203,2051,1393727940,-1,-1,-1,-1
202.38.120.210,46,1393728000,-1,-1,-1,-1
202.38.120.210,46,1393728060,-1,-1,-1,-1
202.38.120.203,768,1393727880,-1,-1,-1,-1
202.38.120.203,768,1393727940,-1,-1,-1,-1
202.38.120.210,34,1393728000,-1,-1,-1,-1
202.38.120.210,34,1393728060,-1,-1,-1,-1
202.112.36.29,63,1393727880,598301059,1500948,15251337,98157
202.112.36.29,63,1393727940,570132443,1406488,13585107,96117
202.38.120.210,122,1393728000,0,0,0,0
202.38.120.210,122,1393728060,0,0,0,0
202.112.36.29,112,1393727880,26521544,150821,834186822,1735779
202.112.36.29,112,1393727940,22036449,144234,798521674,1651765
202.38.120.210,29,1393728000,-1,-1,-1,-1
202.38.120.210,29,1393728060,-1,-1,-1,-1
202.112.36.29,114,1393727880,37663766,55911,3666809,20493
202.112.36.29,114,1393727940,36700059,56718,3629214,21480
202.38.120.210,25,1393728000,-1,-1,-1,-1
202.38.120.210,25,1393728060,-1,-1,-1,-1
202.112.36.29,116,1393727880,3892825,7396,846521,6800
202.112.36.29,116,1393727940,3896141,7424,1175394,6946
202.38.120.210,135,1393728000,4121073788,4217330,3260259743,3945164
202.38.120.210,135,1393728060,3971764390,3976076,2940420326,3623092
202.112.36.29,26,1393727880,-1,-1,-1,-1
202.112.36.29,26,1393727940,-1,-1,-1,-1
202.38.120.210,27,1393728000,-1,-1,-1,-1
202.38.120.210,27,1393728060,-1,-1,-1,-1
202.112.36.29,121,1393727880,0,0,5658,123
202.112.36.29,121,1393727940,0,0,6808,148
